txt, txt_kword, book_title, book_summery, book_keyword, Recommended_txt_similarity
컴퓨터 개발자로 취직하고 싶어 개발자 공부 하려면 어떻게 해야할까?,"['공부', '개발자', '컴퓨터']",오늘부터 개발자,"3,000명 이상의 수강생이 검증한 강의의 액기스만 모은,개발자를 꿈꾸는 당신의 소중한 수백 시간을 줄여줄 ‘개발자 취업 입문 개론’‘프론트엔드, 백엔드, 데이터 사이언티스트’ … 어떤 개발자가 되어야 하지?‘자바, 파이썬, C언어’ … 어떤 언어부터 배워야 하지?‘온라인 강의, 부트캠프, 국비지원 학원’ … 어디에서 배워야 하지?‘연봉, 복지, 기업 규모’ … 어떤 회사가 나랑 맞는 거지?요즘 어딜 가나 IT 업계와 개발자 관련 소식이 들려온다. IT의 빠른 성장과 함께 개발자에 대한 연봉, 복지에 대한 뉴스가 쏟아지며 비전공자를 포함한 많은 사람들이 ‘나도 개발자 한 번 해볼까?’라는 생각을 한다. 하지만 막상 ‘개발자’를 꿈꾸고 준비를 시작하는 순간부터 난관에 봉착하게 된다. 낯선 용어들과 다양한 개발 관련 분야, 기업 규모별 차이 속에서 우리는 정보를 찾아 헤매며 무엇부터 해야 할지 고민하는 데에만 수많은 시간과 에너지를 쏟게 된다.이 책은 여러분보다 조금 일찍 개발자를 꿈꾸며 공부를 시작한 저자가 들려주는 개발자 취업의 생생한 경험담이다. 개발자로 취직을 하고 보니 비로소 보이는 ‘어떤 언어를 먼저 배우는 게 좋다’ ‘개발을 배울 수 있는 곳은 이런 곳들이 있더라’ ‘면접을 보기 전에 이런 것들을 준비해야 한다’ 등 시간을 되돌려 과거의 자신에게 들려주고 싶은 이야기들을 담았다. 저자의 경험담과 더불어 현직 개발자들의 인터뷰를 담아 생생하고 현실적인 개발자의 삶에 대해 들어볼 수 있다.‘IT’를 전혀 모르고 시장에서 ‘쌀’을 팔던 청년도 개발자가 되었다. 여러분도 당연히 할 수 있다. 이 책을 통해 막연하게 생각하던 ‘개발자’에 대해 제대로 알고, 여러분의 소중한 시간과 에너지, 돈을 아껴 개발자라는 목표에 최대한 빨리 도달하기를 바란다. 이 책의 목적은 아주 단순하다. 개발 공부를 처음 시작하는 누구라도 이 책을 통해 방황하는 2개월을 줄일 수 있도록 하는 것이다.","['개발자 공부 시작', '온라인 강의 부트캠프']",0.2857142857142857
컴퓨터 개발자로 취직하고 싶어 개발자 공부 하려면 어떻게 해야할까?,"['공부', '개발자', '컴퓨터']",게임 기획자의 일,"매일의 위기 속에서도 무엇이든 가능한 세계를 만드는현실 속 게임 기획자 이야기평생직장의 시대는 가고, 직업의 시대가 왔다. ‘좋아하는 일을 하며 살 수 있을까’라는 캐치프레이즈를 내건 문학과지성사의 새로운 시리즈 〈일이 삶이 되는, 일이삼 시리즈〉가 독자들을 찾아간다. 〈일이삼 시리즈〉는 자신이 좋아하는 일을 직업으로 삼아 삶에서 일을 발견하고, 일로써 삶을 만들어나가는 사람들의 세계를 담은 직업 에세이다. 이번에 출간된 『게임 기획자의 일?상상의 세계를 현실로 만드는』을 시작으로, 〈일이삼 시리즈〉는 ‘워라밸’과 ‘워라블’ 사이를 오가며 일과 삶의 의미를 묻는 독자들과 더불어 좋아하는 일을 하며 살 수 있는 가능성을 모색할 것이다.〈일이삼 시리즈〉의 첫번째 책은 게임 시나리오 기획자 겸 디렉터 최영근의 『게임 기획자의 일』이다. 2020년대로 접어들면서 게임 산업은 전 세계적으로 200조 원대, 한국에서만 15조 원대 규모로 성장해 21세기 메인스트림 산업 중 하나로 자리매김했다. 불과 15~20년 만에 일어난 이 변화를 겪으며 ‘어쨌든 모두 게임 탓’을 하던(“‘게임은 마약이다’라고 여겨졌기 때문에, 게임 개발자들은 자조적으로 ‘우리는 마약 제조자다’라는 말을 씁쓸하게 하곤 했죠”, 22~23쪽) 시절을 기억하는 세대는 얼떨떨해하지만, 젊은 세대 사이에서 게임 회사는 선망의 대상이 되었다. 『게임 기획자의 일』은 이 두 부류의 독자를 아우르며 게임 기획의 현실 세계를 생생하게 들려줄 것이다.18년 차 현업인으로서 게임 업계와 게임 산업, 그리고 그 안에 속해 있는 게임 기획자라는 직업의 현실을 그려내는 이 책에는, 게임이 좋아서 이 일을 시작했던 저자 개인의 구체적인 경험이 담겨 있다. 취미를 직업으로 삼는 것은 언뜻 낭만적으로 보이겠지만 현실은 다르다고 저자는 말한다. 쉬는 동안 게임을 하면서도 그 게임을 분석하고 트렌드를 파악하고, 성공한 게임을 보며 시기심을 느끼다 보면 일과 삶의 경계는 희미해지기 일쑤다. 이런 현실 속 이야기를 통해서, 『게임 기획자의 일』은 독자들로 하여금 좋아하는 일을 한다는 것은 무엇인지 그 의미를 되묻게 한다. 여기에 게임 기획자 직군 안에 속하는 다른 직무들(시스템 기획자, 레벨 디자인 기획자, UI/UX 기획자 등)과 사업 프로젝트 매니저의 인터뷰 6편을 더해 다양한 직무를 조명하는 한편, 좋아하는 일을 하는 게임 업계 사람들의 기쁨과 슬픔을 보다 다채롭게 담아냈다.밖에서 바라본 게임 개발은, 우리가 사랑하는 무언가를 직접 만드는 낭만적이고 매력 있는 일일 수도 있습니다. 하지만 이 일을 직업으로 삼으면 〔……〕 끔찍할 만큼 많은 체력과 정신력이 필요하다는 사실을 생각해주시면 좋겠습니다. 우리 모두 행복해지기 위해 일합니다. 내가 사랑하는 일이 시시각각 나를 파괴하려 드는 이 이상한 세계에서 정신을 가다듬고 버텨나가야 합니다. 〔……〕 만약 게임을 좋아한다면 이것이 직업이 되었을 때 내게 행복을 가져다줄지, 정신의 파괴를 가져다줄지 한 번쯤은 생각해보면 좋겠습니다. 제 정신은 반은 파괴돼 있고 나머지 반은 환희를 느끼는 이상한 상태랍니다. (211~212쪽)","['직업 현실 게임', '게임 개발자 조적']",0.14285714285714285
컴퓨터 개발자로 취직하고 싶어 개발자 공부 하려면 어떻게 해야할까?,"['공부', '개발자', '컴퓨터']",1년 안에 AI 빅데이터 전문가가 되는 법 (심화편),"화제의 빅데이터 공부법이 한 번 더 업그레이드됐다!반드시 공부해야 할 알고리즘에서 전문가로 성장하는 방법까지『1년 안에 AI 빅데이터 전문가가 되는 법 (심화편)』으로 혼자서 하는 공부의 한계를 돌파하라!하버드 경영대에서 21세기 가장 매력적인 직업으로 예상했던 데이터 사이언티스트의 전성시대가 도래했다. 거대 플랫폼 기업에서 공공기관, 각종 연구소, 중소 마케팅 업체까지 이제 기업 비즈니스의 빅데이터 활용은 상식이 되었다. 제품의 개발과 생산 프로세스, 유통, 마케팅 전 영역에 걸쳐 빅데이터의 쓰임이 커지면서 빅데이터 전문가의 몸값도 날로 상승 중이다. 그와 더불어 취업준비생과 직장인들 사이에 빅데이터 공부 붐이 불고 있다.『1년 안에 AI 빅데이터 전문가가 되는 법 (심화편)』은 AI 빅데이터 전문가가 하는 일은 무엇이고, 어떻게 공부해야 전문가가 될 수 있는지 분야와 방법을 수학부터 알고리즘까지 자세하게 설명해준다. 단순히 공부법 이외에 AI 빅데이터에 대한 지식도 쌓고 실제 AI 빅데이터 분석가가 현업에서 하는 일도 엿볼 수 있다. 특히 연구원 및 중소 빅데이터 기업에서 다양한 분야의 빅데이터를 다뤄보고 현재 텍스트 마이닝에 강점을 가진 빅데이터 분석회사를 운영하고 있는 저자의 경험과 조언은 취업을 준비하는 독자들에게 큰 힘이 되어줄 것이다.","['빅데이터 공부 업그레이드', '공부 알고리즘 전문가']",0.14285714285714285
컴퓨터 개발자로 취직하고 싶어 개발자 공부 하려면 어떻게 해야할까?,"['공부', '개발자', '컴퓨터']",90년대생 경찰일기,"MZ세대 선배가 들려주는 슬기로운 경찰공무원 생활!경시 준비부터 중앙경찰학교, 파출소 실습, 신임 경찰의 고충까지최근 코로나19 여파로 취업 시장이 얼어붙으면서 공무원 시험을 준비하는 취준생이 급격히 늘고 있다. 잡코리아와 알바몬의 조사에 따르면 실제 취준생 10명 중 4명이 공무원 시험을 준비하고 있는 ‘공시족’인 것으로 조사되었다. 오늘날 청년들이 공무원 시험에 매달리는 이유는 명확하다. 정년이 보장되고, 해고 통보를 받을 걱정이 없는 안정적인 직업이 바로 공무원이기 때문이다. 그런데 청춘을 바쳐가며 치열하게 공부해왔음에도 사실 공무원이라는 직업의 만족도는 그렇게 높지 않다. 그러면서도 공무원이라는 이유 하나만으로 쉽게 그만두지도 못한다. MZ세대 신임 경찰공무원인 저자는 왜 젊은 세대가 공무원 시험을 준비할 수밖에 없는지, 공무원 시험에 뛰어든 청년들이 얼마나 치열하게 살아가고 있는지 이야기한다. 또한 경시생을 위해 저자가 보고 느낀 경찰공무원 이야기를 가감 없이 이 책에 담았다.","['청년 공무원 시험', '청춘 공부 사실']",0.125
컴퓨터 개발자로 취직하고 싶어 개발자 공부 하려면 어떻게 해야할까?,"['공부', '개발자', '컴퓨터']","피, 땀, 리셋","리얼하게 들여다보는 게임 개발 생태계 인터뷰로 생생하게 전하는 유명 게임사들의 성공과 실패‘리셋 버튼’으로 새롭게 시작하는 게임 개발자들의 힐링 다큐『피, 땀, 픽셀』 저자 제이슨 슈라이어의 파란만장한 게임 개발 비하인드 스토리 2편,이번엔 ‘대 이직’의 시대를 살아가는 게임 개발자의 삶이다!『피, 땀, 픽셀』로 눈물 없이 볼 수 없는 게임 업계의 뒷이야기를 풀어냈던 제이슨 슈라이어가 더 쓰라린, 그러나 더 생생한 이야기로 돌아왔다. 이번에는 그들의 ‘피땀 어린’ 게임과 회사, 그리고 커리어까지도 [리셋 버튼] 한방에 날아가버리는 이야기들이 펼쳐진다. 실제 게임 안에서는 [리셋 버튼] 한 번이면 플레이어가 애써 쌓아온 모든 것을 잃고 만다. 하지만 『피, 땀, 리셋』은 실패에서 얻은 경험치와 스킬을 무기로, 스스로 ‘리셋’해나가는 개발자들의 성장기를 보여주며, 희망을 전한다. 또한, 그들의 이야기속에서 왜 결국 '리셋'을 선택할 수밖에 없었는지, 현재 게임 업계의 근본적인 문제점도 함께 고민해본다. 비슷한 고충을 겪고 있을 대한민국 게임 업계 종사자들에게 이 책은 새로운 영감과 응원, 그리고 작은 위로가 될 것이다!","['게임 개발자 힐링', '게임 업계 뒷이야기']",0.14285714285714285
컴퓨터 개발자로 취직하고 싶어 개발자 공부 하려면 어떻게 해야할까?,"['공부', '개발자', '컴퓨터']",나는 LINE 개발자입니다,"글로벌 테크 기업 LINE의 개발 고수 12인의 개발 라이프 『나는 LINE 개발자입니다』는 10대 창업자, 게임 마니아, 철학 전공 개발자, 아마존 출신 개발자 등 다양한 경력의 12인이 라인(LINE) 개발자가 되기까지의 이야기, 그리고 라인에서 동료들과 함께 글로벌 개발자로 한 단계 성장하는 과정을 담은 책이다. 본서는 세계를 무대로 활약하는 개발자 12인 12색의 이야기를 통해 개발자를 꿈꾸는 이들에게 실질적인 도움을 주고자 했다.","['개발자 창업 게임', '동료 글로벌 개발자']",0.14285714285714285
컴퓨터 개발자로 취직하고 싶어 개발자 공부 하려면 어떻게 해야할까?,"['공부', '개발자', '컴퓨터']",소프트웨어개발자 어떻게 되었을까?,"지금까지 이런 직업 가이드북은 없었다!“대한민국 각 분야 최고의 소프트웨어개발자들이 청소년의 관점으로 자신이 걸어온 길을 이야기해 준다.”『소프트웨어개발자 어떻게 되었을까?』는 엄마 아빠도 모르고 선생님도 몰랐던, 소프트웨어개발자 6인이 말하는 직업인의 이야기를 담은 책이다. 이하늘/정우현, 노현서, 김승율, 장봉균, 노우현, 권정윤 등 대한민국 다양한 분야에 6인의 커리어패스를 통해 리얼 소프트웨어개발자의 이야기를 들어본다.이 책은 학생들이 선호하는 다양한 직업들을 소개하고 그 분야 최고의 전문가가 된 6명을 인터뷰한 책이다. 이미 남들이 간 길을 가기보단 자신이 진정 원하는 길을 걸었고, 그런 순간들이 모이고 모여 각 분야 최고의 자리에 오를 수 있었던 전문가들의 일화를 최초로 소개한다.개발자는 시대적 트렌드에 빠르게 반응하면서 무한 학습능력과 언제든지 발전할 수 있는 원동력을 갖고 있어야 한다고 생각해요.-소프트스퀘어드 이하늘/정우현 개발자-뛰어난 개발자가 되기 위해서는 자기 상태를 스스로 항상 점검하고 더 발전할 방법을 찾아 노력할 필요가 있다고 생각해요.-크립텍트 CEO 노현서 개발자-웹 프론트엔드 개발자는 사용자의 인풋을 어떻게 처리해야 할지 그 모든 경우의 수를 다 따져야 하는데, 아무래도 꼼꼼한 사람이 더 잘할 수 있을 거라고 생각해요.-노우현 웹 프론트엔드 개발자-개발을 하면 할수록 배울 것, 공부할 것이 끊임없이 새로 나오더라고요. 공부하지 않고 배우지 않는다면 점점 도태될 수 밖에 없을 것 같아요.-김승율 애플리케이션 개발자-소프트웨어개발자는 긴 프로젝트를 마무리하고 큰 성취감을 얻을 수 있다는 점이 매력적이예요.-네모시스 솔루션개발팀 권정윤 개발자-소프트웨어개발자는 정말 많은 공부를 해야 한다는 점에서 힘들 때가 있어요. 회사는 다양하고, 그 회사마다 원하는 소프트웨어 개발이 다르기 때문에 다뤄보지 않은 언어를 써야 할 때도 있어요.-장봉균 웹 개발자-이 책에 등장하는 직업인들은 단순히 자신의 이야기를 전하기만 하는 것이 아니라, 직업을 결정하거나 중요한 선택을 하던 순간 어떠한 결정을 했는지, 왜 지금의 일을 하게 되었는지를 자세히 설명해주며 학생들도 함께 생각해 볼 수 있는 질문들을 던진다. 각 직업인들의 다양한 커리어패스를 통해 그들이 현재의 직업을 갖기까지 어떤 일들을 거쳐 왔는지 확인할 수 있으며 그들의 과거와 현재가 학생 자신과는 얼마나 관련이 있는지도 비교해 볼 수 있다. ‘어떻게 되었을까?’ 시리즈는 단순한 직업가이드북을 넘어 각 학교의 진로 교사들이 워크북을 이용하여 수업 시간에 실제로 활용할 수 있도록 도와주는 교재가 될 것이다.","['최고 소프트웨어 개발자', '소프트웨어 개발자 청소년']",0.16666666666666666
컴퓨터 개발자로 취직하고 싶어 개발자 공부 하려면 어떻게 해야할까?,"['공부', '개발자', '컴퓨터']",외국 항공사는 왜 나를 뽑았을까?,"모두가 궁금해 하는 외국 항공사 영어 면접의 비밀을 풀다승무원 취업 준비생들을 위한 외국 항공사 면접의 모든 것이 담겨 있는 책. 이 책에는 외국 항공사 이력서와 자기 소개서 작성 요령, 질문 유형에 따른 영어 답변 사례, 면접 영어 공부 방법, 면접관의 속마음과 답변 요령, 다양한 합격 스토리, 외국 항공사 취업 정보 등이 알차게 들어 있다. 특히 외국 항공사 면접에 3번이나 합격한 저자의 승무원 생활 스토리를 통해 승무원으로서 지녀야 할 태도와 상식, 경험 등을 배울 수 있으며, 홍대에서 입소문난 저자의 〈신개념 영어 면접 BEST 방법〉이 실려 있어 영어 공부에 큰 도움을 받을 수 있다.","['면접 영어 공부', '외국 항공사 면접']",0.14285714285714285
컴퓨터 개발자로 취직하고 싶어 개발자 공부 하려면 어떻게 해야할까?,"['공부', '개발자', '컴퓨터']",2차전지 산업분야 취업가이드,"취업에 대한 책이 많이 있지만 각 개별 회사위주로 소개가 되있는 책이 다반사이다. 이에 반해 본 책은 산업별로 회사들을 묶어서 산업에 대해 공부를 하고 기본용어부터 각 산업에 속한 회사에 대해 숙지하고 산업 전반을 이해하여 취업에 대비할 수 있도록 준비를 하였다. 나무가 아닌 숲을 보고 준비를 하면 전체적인 취업준비에 도움이 될 것이다. 요즘 취업문턱이 어려워 지면서 취업 준비에 많은 어려움이 있는데 본 책을 통해 원하는 분야와 직무 취업에 도움이 되길 바란다. 2차전지 산업분야 취업가이드는 2차전지 산업분야와 관련된 회사와 직무, 산업에 대해 소개하였다.","['산업 대해 공부', '취업 준비 어려움']",0.125
컴퓨터 개발자로 취직하고 싶어 개발자 공부 하려면 어떻게 해야할까?,"['공부', '개발자', '컴퓨터']",미래자동차 산업분야 취업가이드,"취업에 대한 책이 많이 있지만 각 개별 회사위주로 소개가 되있는 책이 다반사이다. 이에 반해 본 책은 산업별로 회사들을 묶어서 산업에 대해 공부를 하고 기본용어부터 각 산업에 속한 회사에 대해 숙지하고 산업 전반을 이해하여 취업에 대비할 수 있도록 준비를 하였다. 나무가 아닌 숲을 보고 준비를 하면 전체적인 취업준비에 도움이 될 것이다. 요즘 취업문턱이 어려워 지면서 취업 준비에 많은 어려움이 있는데 본 책을 통해 원하는 분야와 직무 취업에 도움이 되길 바란다. 미래자동차 산업분야 취업가이드는 미래자동차 산업 분야와 관련된 기업과 직무, 산업에 대해 소개하였다.","['산업 대해 공부', '취업 준비 어려움']",0.125
