txt,words,title,summery,summery_word,similarity,label,,,,
군인을 되는 방법 직업군인의 삶,"['군인', '직업']",직업군인 진로탐구,"군별·병과별, 충분한 정보로 제대로 탐색하는 직업군인의 세계평생직장의 개념이 사라지고 불안한 취업환경에서 직업군인을 꿈꾸거나 관심 있는 이들에게 제목 그대로 진로를 탐구하도록 한 책이다. 직업군인 제도와 종류, 경로와 준비방법부터 처우와 급여, 계급과 진급, 정년, 연금까지 진로 모색에 필요한 정보를 빈틈없이 담아냈다. 이와 함께 육·해·공군과 해병대까지 군별 특징과 체계, 교육훈련, 병과 등의 정보를 세밀하게 제공하여 직업군인 내에서도 자신에게 적합한 군이나 병과를 알고 선택할 수 있도록 했다. 여기에 특히 청소년들이 좋아하는 군별 특수부대나 무기체계도 담아냄으로써 더 흥미롭게 진로를 탐색하도록 했다. 직업군인에 대한 관심은 갈수록 커지는데도 이에 대한 정보는 제한되는 현실에서 책은 직업군인 진로 탐색에 필요한 최신의 정보를 부족함 없이 제공한다. 그런 만큼 청소년부터 성인까지 누구나 직업군인과 군을 바로 알고 후회 없는 진로선택과 직업군인의 밑그림을 그리는 데 도움을 받을 수 있다.","['군인', '탐색', '세계', '직업']",0.5,1,,,,
파이썬 언어로 AI 인공지능 기술 구현하는 예제,"['파이썬', '지능', '기술', '인공', '언어', '예제', '구현']",파이썬으로 맛보는 인공지능 한 조각,필요한 것만 담아 한 입에 쏙!누구든 쉽게 이해하는 파이썬 X 인공지능 입문서『파이썬으로 맛보는 인공지능 한 조각』은 프로그래밍 경험이 없는 분을 대상으로 하여 파이썬(Python) 언어로 인공지능 맛보기를 제공한다. 인공지능이 마냥 낯설거나 어렵게 느껴지지 않고 즐겁게 프로그래밍을 하는 경험을 드리고자 한다. 이 책을 따라 차근차근 학습하다 보면 나의 세계에 숨은 인공지능이 보이고 인공지능을 직접 만듦으로써 성취감을 얻을 수 있을 것이다. 이 책으로 여러분의 첫 인공지능을 만드는 경험에 작은 기쁨 한 조각을 나누어 드릴 수 있길 바란다.,"['파이썬', '지능', '언어', '인공', '맛보기']",0.5,1,,,,
요리는 정말 과학인걸까?,"['요리', '정말', '과학']",푸드 사피엔스,과학은 어떻게 맛을 창조했고요리는 어떻게 예술이 되었는가?인간의 창조 행위 중에서 요리만큼 예술과 과학의 원리를 구체적으로 보여 주는 것이 또 있을까? 하버드대 영양학과 교수이자 저명한 음식 과학자인 저자는 요리 뒤에 숨겨진 역사와 과학 예술을 친절하게 톺아본다. 이 책은 인류가 요리로부터 부여받은 영양학적 이점을 발판 삼아 인간으로서의 독자적 길을 개척하는 지점부터 시작한다. 그 이후 마지막 책장까지 요리와 과학적 발견의 고리를 끈끈하게 연결해 낸다.저자는 역사·화학·인류학·요리 과학을 통합하여 인류의 지난 발자취를 추적하는 데 그치지 않고 예술과 과학이 통합된 형태로 앞으로의 일상에 자리 잡을 ‘요리 과학’에 이르기까지 우리가 맞이할 미래 요리의 세계도 조망한다. 더불어 요리에 관한 기존 상식을 뒤엎거나 혹은 더욱 파고드는 이야기와 저자가 애호하는 레시피를 담고 있다. 음식을 맛보고 요리하는 데 관심 있는 사람이라면 누구나 이 책을 탐미하며 지적 배고픔을 달랠 수 있을 것이다.,"['요리', '예술', '발견', '과학']",0.4,1,,,,
회사에서 일잘하는 직원으로 남는 방법,"['직원', '회사']",회사의 언어,#할말 #안할말 #먹히는말 #씹히는말제대로 말하고 있습니까?회사에서 사용하는 ‘언어’는 따로 있다조직에서 인정받는 '에이스‘들이 말하고 듣고 쓰는 법“요란하게 자신을 포장하지도 화려한 스펙을 깔고 들어오지도 않았는데 그들은 조용하고 묵묵히 일하다 어느새 조직의 중요한 위치를 점한다. 그들은 ‘회사의 언어’를 구사할 줄 알았다.”업무 하나에도 다수의 이해관계가 얽혀 있고 수십 명에서 수백 명의 사람들이 보폭을 맞춰야 하는 회사의 세계. 핵심을 짚어내고 박수 받고 분위기를 반전시키는 직원의 언어 습관은 무엇일까? 여유 있게 상사를 리드하는 신입 사원의 질문 표현이 서툰 동기의 존재감을 발휘하는 이메일 쓰기 듣기 고수 부장님의 노트 필기법까지. 센스 있게 듣고 제대로 표현해 나와 조직의 목표를 성취해내는 ‘회사의 언어’가 펼쳐진다.,"['습관', '회사', '성취', '언어', '직원']",0.4,1,,,,
"블로그 시작하는 방법, 블로그로 돈버는 방법","['시작', '블로그']",나는 매일 블로그로 출근한다,누적조회수 1100만 뷰 네이버 인플루언서미세스찐이 전수하는 블로그 글쓰기 비법방송작가 12년 블로그 운영 7년 베스트셀러 집필까지18년간 쌓아온 노하우를 집약한 블로그 글쓰기 안내서육아와 휴직으로 몸도 마음도 지쳐 일기처럼 시작한 블로그가 인생을 바꿔주었다! 이 이야기는 이 책의 저자에게만 해당하는 이야기가 아니다. 블로그를 꾸준히 운영하는 사람들이 공통으로 하는 말이다. “블로그를 하다 보니 좋은 일이 생겼다”고.블로그 글쓰기 하나만으로 6개의 직업이 생겼다는 저자는 ”블로그 글쓰기는 내 마음을 보살펴주고 ‘나’라는 사람이 성장하도록 도와주었다. 그 매력에 빠져 산 지 7년 내 인생은 180도 바뀌었다.“라고 말한다. 블로그 글쓰기의 즐거움을 더 많은 사람과 나누고 싶어 블로그 글쓰기 강의를 했다. 그리고 방송작가 12년 블로그 운영 7년 여러 권의 도서 집필까지 18년간 쌓아온 글쓰기 노하우를 집약해 이 책을 썼다.최근 수익형 블로그에 관심을 가지는 사람이 많아지면서 블로그로 수익 올리는 법을 다루는 책이 무수히 많이 나와 있다. 저자는 블로그를 시작하는 많은 사람들이 ‘시작’은 열정적이지만 ‘유지’는 어려워하는 것을 발견했다. 블로그를 통해 콘텐츠를 만들거나 수익을 창출하려면 반드시 지속 가능해야 한다. 블로그를 통한 성취는 ‘오랜 시간 일정 수준의 글쓰기를 유지하는 것’에서 비롯되기 때문이다. 이 책에서는 나를 탐구하고 기록하며 콘텐츠의 내실을 다지는 방법을 집중적으로 다룬다. 블로그에 자신만의 이야기를 ‘소처럼 꾸준히’ 쓰다 보면 글쓰기 실력 향상은 기본이고 사업 확장과 수익은 덤으로 따라온다고 강조한다. 블로그로 자신의 강점을 발견하고 커리어를 늘리거나 사업을 확장하고 싶은 사람이라면 이 책이 든든한 가이드가 되어줄 것이다.,"['비법', '방송작가', '블로그', '사람', '시작']",0.4,1,,,,
왜 여성은 사회에서 대장이 될 수 없는가?,"['여성', '사회', '대장']",나의 할머니에게,틀림없이 우리 곁에 있어왔지만 정확하게 응시된 적은 없었던 여성들『나의 할머니에게』는 사회 곳곳에서 여전히 소외되고 주목받지 못하지만 어려운 시절을 충실히 살아낸 우리 시대의 소중한 어른으로서 ‘할머니’들의 이름을 제대로 불러보고 싶다는 마음에서 시작되었다. 현재 한국 문단에서 가장 활발히 활동 중인 여성 작가 6명(윤성희 백수린 강화길 손보미 최은미 손원평)이 유해한 시대를 무해한 사랑으로 헤쳐 나온 이들의 믿지 못할 삶의 드라마를 각자의 고유한 감각과 개성으로 그려냈다. 가족의 의미가 흐려져가는 시대에도 부모를 대신해 우리를 키우고 보듬었던 존재. 가족을 위해 또 여성을 억누르는 부당한 세상에 의해 자신의 이름을 지우고도 한 시대를 오롯이 버텨낸 역사의 증언자. 떠올리면 언제나 마음이 따뜻해지는 단어. “틀림없이 우리 곁에 있어왔지만 정확하게 응시된 적은 없었던 여성들”(황예인 발문)인 할머니에 대한 여섯 편의 소설이 실려 있다.,"['작가', '여성', '할머니', '중인', '사회']",0.333333333,1,,,,
빅데이터 분석을 잘하는 데이터엔지니어가 될거야,"['분석', '빅데이터', '데이터']",카카오 아레나 데이터 경진대회 1등 노하우,이 책은 탐색적 데이터 분석을 위한 ‘파이썬 프로그래밍 입문서’ 입니다. 이 책은 처음 데이터 분석에 입문하는 독자가 최대한 빠르게 시작할 수 있도록 기본을 알려주는 것을 목표로 합니다. 그래서 이 책에서는 파이썬에서 제공하는 수많은 기능 중 데이터 분석에 자주 사용하는 핵심 기능을 다루고 있습니다. 정확하게는 본격적인 데이터 분석을 진행하기에 앞서 데이터를 수집 탐색하고 정제하는 ‘탐색적 데이터 분석’ 과정에 대해서 설명합니다. 그리고 실생활에 사용할 수 있는 실습 예제를 해결하면서 탐색적 데이터 분석의 전반적인 과정을 이해할 수 있도록 구성했습니다,"['분석', '데이터', '파이썬', '본격', '프로그래밍']",0.333,1,,,,
외국에서 미국인 간호사가 되고 싶어 간호사는 최고의 직업이라고 장담해,"['간호사', '최고', '직업']",우리는 미국 전문간호사입니다,"‘전문간호사’라 불리는 미국의 NP는 ‘Nurse’라는 이름으로 환자를 진료하고 약과 검사를 처방하고, 주치의로 일을 한다. 2019년 미국 US News 최고의 헬스케어 직종(Best Health Care Jobs Ranking) 5위로 전문간호사, 즉 NP(Nurse Practitioner)가 뽑혔다. NP는 높은 직업 만족도와 개인적인 성취감을 주는 직업으로, 억대 연봉을 보장받고, 미국 영주권을 쉽게 취득할 수 있는 직업이다. 『우리는 미국 전문간호사입니다』는 미국 내 최고의 주거 환경과 연봉을 자랑하는 캘리포니아에서 현직 NP로 활동하고 있는 한국 간호사 출신의 5~7년차 NP들이 엮어낸 전문간호사의 모든 것을 담고 있다. 20대에 한국에서 간호사로 일하다가 미국으로 건너가 현직 NP로 자리 잡은 멘토들이 들려주는 가장 정확하고 실질적인 ‘NP 가이드북’이다. 간호사가 꿈인 중고등학생, 미국 이민을 계획 중인 사람이나 간호대학 학생과 현직 간호사들에게 도움이 될 것이다.","['고등학생', '미국', '직업', '간호사', '만족도']",0.333,1,,,,
요리는 정말 과학인걸까?,"['요리', '정말', '과학']",맛의 원리,맛을 과학으로 설명한 최고의 책 『맛의 원리』 전면 개정판(4판) 발간!사람들은 보통 맛은 인문학이나 감성의 영역이지 과학의 영역이 아니라고 생각한다. 그래서 맛을 과학적으로 이야기하는 경우는 거의 없고 제대로 된 맛의 이론도 없다. 식품 과학과 요리의 과학을 말하지만 그것은 성분이나 가공법에 대한 내용이지 왜 그렇게 해야 맛이 있는지 그것을 왜 맛있다고 하는지에 대한 내용은 아니다.맛을 과학으로 보다 깊이 있게 설명하여 많은 사람들에게 극찬을 받았던 스테디셀러 『맛의 원리』가 보다 진화된 내용의 증보판으로 새롭게 선보인다. 저자 최낙언 대표가 미각과 향(후각)에 대한 오해를 풀고 좀 더 포괄적인 맛에 대한 이론을 설명하기 위해 이 책을 쓴지 5년 만이다. 미각과 후각 부분을 대폭 추가하여 맛의 이론서로서 확고함을 더했고 저자가 직접 그린 그림으로 교체해 독자의 이해를 도왔으며 추가 설명이 필요한 부분까지 꼼꼼히 체크해서 보완하는 세심함도 잊지 않았다. 일반인부터 관련 종사자까지 맛의 과학에 대해 쉽게 배울 수 있는 최고의 이론서라 하겠다.,"['대한', '과학', '오해', '후각', '요리']",0.333,1,,,,
지붕 업는 건물이 있을까 건축은 왜 바닥부터 만들까??,"['지붕', '건물', '건축', '바닥']",지붕 없는 건축,“건축은 지붕 없는 들 위에 서서각자의 지붕을 만들어나가는 과정과 같다.”건축에서 지붕은 경계 영역을 한정하는 최초의 조형 요소다. 벽이 없어도 지붕은 땅 위에 가상의 선을 만들고 안과 밖을 구분하게 한다. 따라서 ‘지붕이 없다는 것’은 건축이 시작되기 이전의 상태를 말한다. 건축은 지붕 없는 들 위에 서서 각자의 지붕을 만들어나가는 과정과 같다. (본문 중에서)『지붕 없는 건축』은 기행문도 실용서도 전문서도 아니다. 독립된 학문이나 엔지니어링 분야로서의 건축을 다루는 것이 아니라 건축의 바탕을 이루는 일반적인 개념을 풀어 이야기하는 책으로 이 책의 저자이자 건축가 남상문은 인문이라는 렌즈를 통해 전공어를 일상어로 번역하여 되도록 독자에게 친근하게 다가가고자 하였다. 또한 건축학도 또는 문화 예술 분야에 관심이 있는 비전공자가 건축을 통해 생각의 단초를 발견하고 새로운 지적 탐구의 여정을 떠날 수 있도록 구성했다. 에세이 형식이지만 건축의 보편적 주제들을 문화 예술 철학 기술 등 다양한 측면에서 설명하고자 했다.,"['지붕', '시작', '경계', '건축']",0.333,1,,,,
